,title,release_date,original_language,genres,budget,revenue,runtime,year
477,Zootopia,2016-02-11,en,Animation-Adventure-Family-Comedy,150000000.0,1023784195.0,109.0,2016
479,The Jack in the Box: Awakening,2022-02-24,en,Horror,0.0,195189.0,89.0,2022
481,Arthur the King,2024-03-15,en,Adventure-Drama,19000000.0,34339848.0,107.0,2024
484,The Bad Guys,2022-03-17,en,Animation-Action-Adventure-Crime-Comedy,80000000.0,250162278.0,100.0,2022
485,Cinderella,1950-02-22,en,Family-Fantasy-Animation-Romance,2900000.0,263600000.0,74.0,1950
489,Ghostbusters: Afterlife,2021-11-18,en,Fantasy-Comedy-Adventure-Science Fiction,75000000.0,204334455.0,124.0,2021
491,Spider-Man: Homecoming,2017-07-05,en,Action-Adventure-Science Fiction-Drama,175000000.0,880166924.0,133.0,2017
492,Beau Is Afraid,2023-04-14,en,Comedy-Adventure-Fantasy,35000000.0,10000000.0,179.0,2023
493,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,en,Adventure-Fantasy,250000000.0,954305868.0,146.0,2010
494,Warrior,2011-09-09,en,Drama-Action,25000000.0,23308615.0,140.0,2011
495,Top Gun,1986-05-16,en,Action-Drama,15000000.0,356830601.0,110.0,1986
496,Pirates of the Caribbean: On Stranger Tides,2011-05-15,en,Adventure-Action-Fantasy,379000000.0,1045713802.0,137.0,2011
497,How to Train Your Dragon 2,2014-06-05,en,Fantasy-Action-Adventure-Animation-Comedy-Family,145000000.0,621537519.0,102.0,2014
498,The Hobbit: The Battle of the Five Armies,2014-12-10,en,Action-Adventure-Fantasy,250000000.0,956019788.0,144.0,2014
499,Iron Man,2008-04-30,en,Action-Science Fiction-Adventure,140000000.0,585174222.0,126.0,2008
500,Pulp Fiction,1994-09-10,en,Thriller-Crime,8500000.0,213928762.0,154.0,1994
501,The Color Purple,2023-12-25,en,Music-Drama,95000000.0,64088617.0,141.0,2023
503,Prisoners,2013-09-19,en,Drama-Thriller-Crime,46000000.0,122126687.0,153.0,2013
504,Babylon,2022-12-22,en,Drama-Comedy,78000000.0,63363579.0,189.0,2022
507,The Wolf of Wall Street,2013-12-25,en,Crime-Drama-Comedy,100000000.0,392000000.0,180.0,2013
